sentence	paraphrase	reference
The father of our country knew something about bad press.	Something about bad press was known by the father of our country.	Der Vater unseres Landes wusste etwas von schlechter Presse.
In an interview with The Washington Post, Hogan spokeswoman Amelia Chasse defended the governor's actions, arguing that blocking the comments was nothing more than moderating them.	In an interview with The Washington Post, the governor 's actions were defended by Hogan spokeswoman Amelia Chasse, arguing that blocking the comments was nothing more than moderating them.	In einem Interview mit The Washington Post verteidigte Hogans Sprecherin Amelia Chasse die Handlungen des Gouverneurs und argumentierte, dass die Blockierung der Kommentare nichts weiter als eine Moderation sei.
She rarely even uses a pot.	A pot is rarely even used by her.	Sie benutzt sogar nur selten einen Topf.
Before Christian missionaries arrived, Mee Pago Papuans worshiped a God named Uga Tamee.	Before Christian missionaries arrived, a God named Uga Tamee was worshipped by Mee Pago Papuans.	Bevor christliche Missionare ankamen, verehrten Mee Pago Papuans einen Gott namens Uga Tamee.
Indonesian police arrested more than 3,900 peaceful protesters in the region last year alone.	More than 3,900 peaceful protesters in the region were arrested by indonesian police last year alone.	Allein in der Region verhaftete die indonesische Polizei im vergangenen Jahr mehr als 3.900 friedliche Demonstranten.
The startled children told them that they should turn on their headlights.	They were told by the startled children that they should turn on their headlights.	Die erschrockenen Kinder sagten ihnen, dass sie ihre Scheinwerfer einschalten sollten.
"The Papua Police Chief Inspector General Yotje Mende told reporters that his officers were only ""securing"" their station because it was under attack."	"Reporters were told by the Papua Police Chief Inspector General Yotje Mende that his officers were only ""securing"" their station because it was under attack."	"Der Chefinspektor der Papua-Polizei, Yotje Mende, sagte Reportern, dass seine Offiziere ihre Station nur ""sichern"" wollten, weil sie angegriffen werde."
His brother Yacobus echoed the view that people in Paniai are fearful of discussing the incident.	The view that people in Paniai are fearful of discussing the incident was echoed by his brother Yacobus.	Sein Bruder Yacobus wiederholte die Ansicht, dass die Menschen in Paniai Angst haben, den Vorfall zu diskutieren.
Poverty feeds the discontent.	The discontent is fed by poverty.	Armut stärkt die Unzufriedenheit.
The incident may revive questions about the safety of materials used on the exteriors of tall buildings across the world.	Questions about the safety of materials used on the exteriors of tall buildings across the world might be revived by the incident.	Der Vorfall kann Fragen zur Sicherheit von Materialien, die in Außenbereichen von Hochhäusern auf der ganzen Welt verwendet werden, wiederbeleben.
Last year, Tesla delivered 84,000 vehicles.	Last year, 84,000 vehicles were delivered by Tesla.	Im vergangenen Jahr lieferte Tesla 84.000 Fahrzeuge aus.
The resulting smog can cause serious breathing problems among sensitive groups of people, contributing to thousands of premature deaths each year.	Serious breathing problems among sensitive groups of people could be caused by the resulting smog, contributing to thousands of premature deaths each year.	Der entstehende Smog kann bei sensiblen Gruppen von Menschen ernsthafte Atemprobleme verursachen, und jedes Jahr zu Tausenden von vorzeitigen Todesfällen beitragen.
In 1796, French troops made camp in the vicinity of the church.	In 1796, camp was made by French troops in the vicinity of the church.	1796 lagerten französische Truppen in der Nähe der Kirche.
The district confirms receipt of the call for action.	Receipt of the call for action is confirmed by the district.	Der Kreis bestätigt den Eingang der Aufforderung.
The district is taking it as a reason to investigate the matter afresh.	It is being taken by the district as a reason to investigate the matter afresh.	Der Kreis nimmt sie zum Anlass, die Angelegenheit erneut zu prüfen.
According to police information, a 17-year-old woman from Bornich, practising accompanied driving in her car with her 53-year old mother, the accompanying driver, was using the L 333 in the direction of Bogel.	According to police information, the L 333 was being used by a 17-year - old woman from Bornich , practising accompanied driving in her car with her 53-year old mother , the accompanying driver , in the direction of Bogel.	Nach Polizeiangaben befuhr eine 17-jährige junge Frau aus Bornich mit ihrem Pkw im Rahmen des begleiteten Fahrens mit ihrer 53-jährigen Mutter als Begleitperson die L 333 in Richtung Bogel.
"The US President berated him for publicly denouncing the wall, reportedly saying to him ""You can not say that to the press."""	"He was berated by the US President for publicly denouncing the wall, reportedly saying to him ""You can not say that to the press."""	"Der US-Präsident beschimpfte ihn, weil er die Mauer öffentlich angeprangert hatte. Berichten zufolge sagte er zu ihm: ""Das können Sie der Presse nicht sagen."""
In April 1946, a Supreme Court ruling enabled black citizens in Georgia to cast ballots for the first time during the primary race later that summer.	In April 1946, black citizens in Georgia were enabled by a Supreme Court ruling to cast ballots for the first time during the primary race later that summer.	Im April 1946 ermöglichte eine Entscheidung des Obersten Gerichtshofs den schwarzen Bürgern in Georgia es zum ersten Mal, am Vorwahlkampf im Sommer ihre Stimme abzugeben.
I see positive results.	Positive results are seen by me.	Ich ziehe ein positives Resümee.
Menge: I gathered great insights.	Menge: great insights were gathered by me.	Menge: Ich habe tolle Eindrücke gesammelt.
On Monday a suicide bomber killed two people near the Iraqi embassy in Kabul.	On Monday two people near the Iraqi embassy in Kabul were killed by a suicide bomber.	Am Montag tötete ein Selbstmordattentäter zwei Menschen in der Nähe der irakischen Botschaft in Kabul.
The U.S. Environmental Protection Agency reversed a decision to delay an Obama-era rule requiring states to curb smog-causing emissions, one day after 15 states sued the agency over the move.	A decision to delay an Obama - era rule requiring states to curb smog - causing emissions was reversed by the U.S. Environmental Protection Agency, one day after 15 states sued the agency over the move.	Die US-amerikanische Umweltschutzbehörde hat eine Entscheidung, eine Regulierung der Regierung von Obama zu verzögern, aufgehoben, wonach die Staaten verpflichtet sind, die Smog-verursachenden Emissionen einzudämmen. Dies erfolgte ein Tag, nachdem 15 Staaten die Agentur wegen des Schrittes verklagten.
"The EPA announced the decision to go ahead with the so-called ""2015 Ozone Designations"" late on Wednesday, saying it showed the agency's commitment to working with states."	"The decision to go ahead with the so - called "" 2015 Ozone Designations "" was announced by the EPA late on Wednesday, saying it showed the agency's commitment to working with states."	"Die EPA kündigte spät am Mittwoch die Entscheidung an, die so genannten ""Ozonbestimmungen 2015"" voranzutreiben, und sagte, sie zeige die Verpflichtung der Agentur, mit Staaten zusammenzuarbeiten."
A group of 15 mostly Democratic states, along with the District of Columbia, filed a suit on Tuesday saying the effort was illegal.	A suit was filed by a group of 15 mostly Democratic states , along with the District of Columbia , on Tuesday saying the effort was illegal.	Eine Gruppe von 15 größtenteils demokratischen Staaten, zusammen mit dem Bezirk von Kolumbien, reichte am Dienstag Klage ein und sagte, dass die Bemühung illegal sei.
Municipal council wants common room	Common room is wanted by municipal council	Gemeinderat will Gemeinschaftsraum
However, as the man from Langenfeld cycled onto the road, he evidently did not pay attention to the oncoming traffic.	However, as the man from Langenfeld cycled onto the road, attention was not evidently paid by him to the oncoming traffic.	Als der Langenfelder auf die Straße fuhr, achtete er aber offenbar nicht auf den Gegenverkehr.
The title-defender is missing seven of its pros in the Super Cup against the cup winners.	Seven of its pros in the Super Cup against the cup winners is being missed by the title - defender.	Sieben Profis fehlen dem Titelverteidiger im Supercup gegen den Pokalsieger.
I have great confidence that my team exhibits these qualities.	Great confidence that my team exhibits these qualities is had by me.	Ich habe großes Vertrauen, dass meine Mannschaft diese Qualitäten zeigt.
The duel between the two German football heavyweights is captivating the fans.	The fans are being captivated by the duel between the two German football heavyweights.	Das Duell der beiden deutschen Fußball-Schwergewichte zieht die Fans in ihren Bann.
So good mobile network reception plays a part in the selection of locations.	So a part in the selection of locations is played by good mobile network reception.	Deshalb spielt bei der Standortauswahl ein guter Mobilnetz-Empfang eine Rolle.
